symbol,delta_ticks,lambda_per_side_sec,fit_A,fit_k,gamma
GTCO,47.3984,0.0618309,3.15746,0.061421,0.00103151
GTCO,71.0976,0.0618309,3.15746,0.061421,0.00103151
GTCO,94.7968,0.0163341,3.15746,0.061421,0.00103151
GTCO,118.496,0.00491587,3.15746,0.061421,0.00103151
GTCO,142.195,0.000356571,3.15746,0.061421,0.00103151
GTCO,189.594,1.80288e-05,3.15746,0.061421,0.00103151
OANDO,17.1777,0.021893,0.761165,0.170112,0.00253315
OANDO,25.7666,0.021893,0.761165,0.170112,0.00253315
OANDO,34.3554,0.00130208,0.761165,0.170112,0.00253315
OANDO,42.9443,0.00130208,0.761165,0.170112,0.00253315
OANDO,51.5331,6.8109e-05,0.761165,0.170112,0.00253315
OANDO,68.7108,6.00962e-06,0.761165,0.170112,0.00253315
LIVESTOCK,3.7565,0.0077524,0.119603,0.552069,0.00724782
LIVESTOCK,5.63475,0.0077524,0.119603,0.552069,0.00724782
LIVESTOCK,7.513,0.00415665,0.119603,0.552069,0.00724782
LIVESTOCK,9.39125,0.00041266,0.119603,0.552069,0.00724782
LIVESTOCK,11.2695,0.000290465,0.119603,0.552069,0.00724782
LIVESTOCK,15.026,2.40385e-05,0.119603,0.552069,0.00724782
