symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
GTCO,baseline,1,1.1205e+06,27.906,31.3656,9.97398,1107,6.83248e+06,3.55577e+06,3.27671e+06,6240,2851,2275,1
GTCO,avellaneda_stoikov,1,2.36877e+06,2.2304,8.8578,2.17123,1751,1.08274e+07,5.42487e+06,5.40257e+06,6240,3077,2275,1
GTCO,baseline,2,1.05818e+06,3.8869,14.9207,4.17025,1076,6.52608e+06,3.28248e+06,3.24361e+06,6240,2836,2322,1
GTCO,avellaneda_stoikov,2,2.55752e+06,-8.2985,13.7505,2.86285,1807,1.09475e+07,5.43225e+06,5.51524e+06,6240,3102,2322,1
GTCO,baseline,3,1.17783e+06,-13.9111,14.9111,3.13242,1139,6.85349e+06,3.35719e+06,3.4963e+06,6240,2886,2339,1
GTCO,avellaneda_stoikov,3,2.56205e+06,0.6174,11.8713,2.21854,1812,1.09796e+07,5.49291e+06,5.48674e+06,6240,3127,2339,1
GTCO,baseline,4,1.65992e+06,13.1182,22.8984,5.45413,1096,6.65831e+06,3.39475e+06,3.26357e+06,6240,2846,2313,1
GTCO,avellaneda_stoikov,4,2.26356e+06,-5.188,8.0488,1.94406,1765,1.06002e+07,5.27417e+06,5.32605e+06,6240,3063,2313,1
GTCO,baseline,5,1.29408e+06,-6.1632,15.002,5.12061,1096,6.87618e+06,3.40728e+06,3.46891e+06,6240,2873,2281,1
GTCO,avellaneda_stoikov,5,2.46988e+06,-3.6827,9.243,2.07816,1731,1.07292e+07,5.34617e+06,5.383e+06,6240,3059,2281,1
GTCO,baseline,6,913696,-13.4242,17.0595,5.97516,1108,6.88151e+06,3.37363e+06,3.50788e+06,6240,2862,2318,1
GTCO,avellaneda_stoikov,6,2.60402e+06,4.0647,7.706,1.71656,1830,1.12978e+07,5.66924e+06,5.6286e+06,6240,3120,2318,1
GTCO,baseline,7,1.30191e+06,-7.1716,9.9626,3.73057,1087,6.63565e+06,3.28197e+06,3.35368e+06,6240,2832,2303,1
GTCO,avellaneda_stoikov,7,2.50064e+06,12.3663,13.3663,2.33331,1786,1.09613e+07,5.5425e+06,5.41884e+06,6240,3086,2303,1
GTCO,baseline,8,754623,-23.294,24.294,5.56859,1067,6.33194e+06,3.0495e+06,3.28244e+06,6240,2745,2246,1
GTCO,avellaneda_stoikov,8,2.13618e+06,-15.9433,16.9433,2.64959,1742,1.0277e+07,5.05881e+06,5.21824e+06,6240,2952,2246,1
GTCO,baseline,9,1.13386e+06,9.0711,9.6799,2.76118,1067,6.64469e+06,3.3677e+06,3.27699e+06,6240,2844,2305,1
GTCO,avellaneda_stoikov,9,2.47724e+06,3.8023,4.7162,1.37096,1787,1.0883e+07,5.46051e+06,5.42249e+06,6240,3088,2305,1
GTCO,baseline,10,1.87063e+06,-16.059,25.9254,6.94508,1055,6.50327e+06,3.17134e+06,3.33193e+06,6240,2785,2234,1
GTCO,avellaneda_stoikov,10,2.29977e+06,-9.965,10.965,2.36914,1728,1.05302e+07,5.21525e+06,5.3149e+06,6240,3005,2234,1
GTCO,baseline,11,848809,1.7217,12.7343,4.95781,1090,6.51123e+06,3.26422e+06,3.24700e+06,6240,2846,2300,1
GTCO,avellaneda_stoikov,11,2.60422e+06,-5.5026,10.008,2.36515,1802,1.10428e+07,5.49391e+06,5.54893e+06,6240,3117,2300,1
GTCO,baseline,12,1.13718e+06,-4.1426,13.1855,3.5788,1140,6.7405e+06,3.34954e+06,3.39096e+06,6240,2885,2354,1
GTCO,avellaneda_stoikov,12,2.68362e+06,-1.0212,9.9299,2.02998,1862,1.10578e+07,5.5238e+06,5.53401e+06,6240,3135,2354,1
GTCO,baseline,13,1.40018e+06,12.7616,17.1826,4.84015,1089,6.71042e+06,3.41902e+06,3.2914e+06,6240,2857,2312,1
GTCO,avellaneda_stoikov,13,2.63856e+06,10.3185,13.9303,2.90426,1802,1.09901e+07,5.54663e+06,5.44345e+06,6240,3114,2312,1
GTCO,baseline,14,1.70286e+06,-15.2365,20.3424,5.3738,1098,6.55935e+06,3.20349e+06,3.35586e+06,6240,2818,2301,1
GTCO,avellaneda_stoikov,14,2.49908e+06,4.1958,11.3123,2.43589,1769,1.04457e+07,5.24384e+06,5.20188e+06,6240,3039,2301,1
GTCO,baseline,15,1.65903e+06,25.1021,36.6543,11.1462,1126,6.79052e+06,3.52077e+06,3.26975e+06,6240,2919,2374,1
GTCO,avellaneda_stoikov,15,2.62322e+06,15.9264,15.9528,3.54547,1825,1.09579e+07,5.55859e+06,5.39933e+06,6240,3151,2374,1
GTCO,baseline,16,1.43967e+06,-8.7194,12.6155,4.65226,1105,6.79884e+06,3.35582e+06,3.44302e+06,6240,2841,2293,1
GTCO,avellaneda_stoikov,16,2.43008e+06,7.2561,8.4729,2.13507,1806,1.10577e+07,5.56515e+06,5.49258e+06,6240,3084,2293,1
GTCO,baseline,17,1.63652e+06,-6.781,15.061,4.91109,1101,6.92152e+06,3.42685e+06,3.49466e+06,6240,2851,2257,1
GTCO,avellaneda_stoikov,17,2.53985e+06,4.2971,9.6364,1.93642,1760,1.1042e+07,5.54248e+06,5.49950e+06,6240,3080,2257,1
GTCO,baseline,18,1.73036e+06,24.1697,26.7188,7.94854,1073,6.58156e+06,3.41163e+06,3.16993e+06,6240,2856,2329,1
GTCO,avellaneda_stoikov,18,2.63199e+06,7.5081,11.5761,3.10724,1754,1.08246e+07,5.44982e+06,5.37474e+06,6240,3079,2329,1
GTCO,baseline,19,1.36265e+06,-8.5865,8.8569,3.51041,1172,7.16718e+06,3.54066e+06,3.62652e+06,6240,2937,2360,1
GTCO,avellaneda_stoikov,19,2.66452e+06,-10.9718,11.1836,2.27282,1882,1.15051e+07,5.69771e+06,5.80743e+06,6240,3190,2360,1
GTCO,baseline,20,1.11242e+06,-2.8411,9.4058,3.3033,1102,6.57451e+06,3.27305e+06,3.30146e+06,6240,2901,2360,1
GTCO,avellaneda_stoikov,20,2.36298e+06,-4.5803,8.6931,1.98435,1802,1.06142e+07,5.2842e+06,5.33001e+06,6240,3108,2360,1
GTCO,baseline,21,996516,18.3156,24.9231,6.18653,1070,6.58512e+06,3.38414e+06,3.20098e+06,6240,2885,2318,1
GTCO,avellaneda_stoikov,21,2.26344e+06,8.0652,14.7226,3.1615,1728,1.08728e+07,5.47674e+06,5.39609e+06,6240,3130,2318,1
GTCO,baseline,22,1.0255e+06,-17.3987,23.2177,5.04796,1107,6.81214e+06,3.31908e+06,3.49306e+06,6240,2908,2325,1
GTCO,avellaneda_stoikov,22,2.56611e+06,-4.2342,16.4542,3.3322,1758,1.10653e+07,5.51147e+06,5.55382e+06,6240,3162,2325,1
GTCO,baseline,23,602508,5.8534,16.881,7.36099,1097,6.54017e+06,3.29935e+06,3.24082e+06,6240,2879,2350,1
GTCO,avellaneda_stoikov,23,2.51076e+06,-0.662,14.684,3.12772,1811,1.08381e+07,5.41576e+06,5.42238e+06,6240,3111,2350,1
GTCO,baseline,24,264751,24.3852,30.4566,9.42832,1034,6.60384e+06,3.42385e+06,3.17999e+06,6240,2755,2221,1
GTCO,avellaneda_stoikov,24,2.42697e+06,-3.5371,6.5171,1.66418,1738,1.08664e+07,5.41554e+06,5.45091e+06,6240,3001,2221,1
GTCO,baseline,25,1.35822e+06,-20.9837,21.4479,8.32904,1058,6.48567e+06,3.13792e+06,3.34776e+06,6240,2847,2319,1
GTCO,avellaneda_stoikov,25,2.4362e+06,7.4141,8.6019,2.50088,1743,1.07593e+07,5.41673e+06,5.34259e+06,6240,3081,2319,1
