symbol,delta_ticks,lambda_per_side_sec,fit_A,fit_k,gamma
GTCO,32.5759,0.0628005,0.484487,0.0576046,0.000708935
GTCO,48.8638,0.0628005,0.484487,0.0576046,0.000708935
GTCO,65.1517,0.00505809,0.484487,0.0576046,0.000708935
GTCO,81.4396,0.00505809,0.484487,0.0576046,0.000708935
GTCO,97.7276,0.00173077,0.484487,0.0576046,0.000708935
GTCO,130.303,0.000288462,0.484487,0.0576046,0.000708935
OANDO,13.5566,0.0189423,0.188853,0.155187,0.00199915
OANDO,20.3349,0.0189423,0.188853,0.155187,0.00199915
OANDO,27.1132,0.00109575,0.188853,0.155187,0.00199915
OANDO,33.8915,0.00109575,0.188853,0.155187,0.00199915
OANDO,40.6698,0.000404647,0.188853,0.155187,0.00199915
OANDO,54.2264,4.20673e-05,0.188853,0.155187,0.00199915
LIVESTOCK,5.0199,0.0060597,0.152479,0.546212,0.00968543
LIVESTOCK,7.52985,0.0060597,0.152479,0.546212,0.00968543
LIVESTOCK,10.0398,0.000314503,0.152479,0.546212,0.00968543
LIVESTOCK,12.5497,0.000314503,0.152479,0.546212,0.00968543
LIVESTOCK,15.0597,2.80449e-05,0.152479,0.546212,0.00968543
