symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
GTCO,baseline,1,980354,-4.8788,8.0794,3.14427,1146,6.97212e+06,3.46167e+06,3.51046e+06,6240,2897,2330,1
GTCO,avellaneda_stoikov,1,2.32191e+06,13.7962,13.7962,2.72449,1811,1.11237e+07,5.63084e+06,5.49288e+06,6240,3128,2330,1
GTCO,baseline,2,662843,-1.45,15.2026,7.12323,1123,6.77201e+06,3.37876e+06,3.39326e+06,6240,2918,2379,1
GTCO,avellaneda_stoikov,2,2.23585e+06,-2.9451,10.6708,2.22035,1757,1.03748e+07,5.17266e+06,5.20211e+06,6240,3116,2379,1
GTCO,baseline,3,711648,-10.552,13.9611,4.71895,1110,6.77545e+06,3.33496e+06,3.44048e+06,6240,2965,2394,1
GTCO,avellaneda_stoikov,3,2.39156e+06,9.0746,10.1702,2.10055,1808,1.08288e+07,5.45976e+06,5.36902e+06,6240,3198,2394,1
GTCO,baseline,4,75321.4,-26.9551,26.9551,5.04344,1136,7.08857e+06,3.40951e+06,3.67906e+06,6240,2971,2384,1
GTCO,avellaneda_stoikov,4,2.20016e+06,-9.3237,10.5923,2.35303,1812,1.09254e+07,5.41606e+06,5.5093e+06,6240,3195,2384,1
GTCO,baseline,5,977078,-1.7335,10.8973,3.14557,1111,6.81035e+06,3.39651e+06,3.41384e+06,6240,2960,2394,1
GTCO,avellaneda_stoikov,5,2.28692e+06,-13.3774,14.7466,2.49883,1720,1.04535e+07,5.15984e+06,5.29362e+06,6240,3157,2394,1
GTCO,baseline,6,569957,-41.1023,42.2369,10.7996,1138,7.04924e+06,3.31911e+06,3.73013e+06,6240,2958,2401,1
GTCO,avellaneda_stoikov,6,2.58035e+06,7.924,12.7892,2.80354,1827,1.13661e+07,5.72265e+06,5.64341e+06,6240,3234,2401,1
GTCO,baseline,7,549173,6.9982,13.8292,4.78949,1135,6.82891e+06,3.44945e+06,3.37946e+06,6240,2978,2408,1
GTCO,avellaneda_stoikov,7,2.43314e+06,-6.5048,9.9383,2.18933,1817,1.11707e+07,5.55282e+06,5.61787e+06,6240,3235,2408,1
GTCO,baseline,8,861066,-15.9166,25.3613,6.05835,1079,6.61764e+06,3.22924e+06,3.3884e+06,6240,2860,2318,1
GTCO,avellaneda_stoikov,8,2.06791e+06,-10.7289,15.7547,2.60441,1745,1.06493e+07,5.27099e+06,5.37828e+06,6240,3082,2318,1
GTCO,baseline,9,895891,16.8759,19.8623,3.64472,1168,7.12308e+06,3.64592e+06,3.47716e+06,6240,2988,2406,1
GTCO,avellaneda_stoikov,9,2.32208e+06,-0.3538,6.3217,1.56503,1825,1.09537e+07,5.47508e+06,5.47862e+06,6240,3184,2406,1
GTCO,baseline,10,590105,0.2108,10.3099,3.29826,1077,6.55694e+06,3.27952e+06,3.27741e+06,6240,2837,2305,1
GTCO,avellaneda_stoikov,10,2.36526e+06,-8.795,13.5857,2.98419,1706,1.03828e+07,5.14743e+06,5.23538e+06,6240,3043,2305,1
GTCO,baseline,11,993332,-14.0557,16.0557,6.28288,1113,6.86956e+06,3.3645e+06,3.50506e+06,6240,2853,2315,1
GTCO,avellaneda_stoikov,11,2.37278e+06,0.6875,7.984,1.62214,1739,1.06966e+07,5.35175e+06,5.34487e+06,6240,3071,2315,1
GTCO,baseline,12,1.08016e+06,-27.2595,29.6937,9.98297,1103,6.51409e+06,3.12075e+06,3.39334e+06,6240,2813,2321,1
